Index,valSize,testSize,batchSize,layer1Kernel,conv1Activation,pooling,dropout,layer2,layer2Kernel,conv2Activation,layer3,layer3Kernel,conv3Activation,layer4,layer4Kernel,conv4Activation,layer5,layer5Kernel,conv5Activation,layer6,layer6Kernel,conv6Activation,batchNorm,L1kernel_regularizer,L2kernel_regularizer,optimizer,initial_lr,lr_decay_rate,skipConnections,dsAugmentation,standardisation,loss,ActivationUp,epsilon,Dataset,MC24_Features,Epochs,type,downSample
1,0.1,0,64,3,relu,0,0.15,1,3,relu,1,3,relu,1,3,relu,0,3,relu,0,3,relu,0,0,0,Adam,0.001,1,0,0,Standard,MSE,1,1.00E-07,MC24x,All,1000,Xception,0
2,0.1,0,64,3,relu,0,0.15,1,3,relu,1,3,relu,1,3,relu,0,3,relu,0,3,relu,0,0,0,Adam,0.001,1,0,0,Standard,MSE,1,1.00E-07,MC24x,All,1000,MobileNetV2,0
3,0.1,0,64,3,relu,0,0.15,1,3,relu,1,3,relu,1,3,relu,0,3,relu,0,3,relu,0,0,0,Adam,0.001,1,0,0,Standard,MSE,1,1.00E-07,MC24x,All,1000,VGG16,0
4,0.1,0,64,3,relu,0,0.15,1,3,relu,1,3,relu,1,3,relu,0,3,relu,0,3,relu,0,0,0,Adam,0.001,1,0,0,Standard,MSE,1,1.00E-07,MC24x,All,1000,ResNet50,0
5,0.1,0,64,3,relu,0,0.15,1,3,relu,1,3,relu,1,3,relu,0,3,relu,0,3,relu,0,0,0,Adam,0.001,1,0,0,Standard,MSE,1,1.00E-07,MC24x,All,1000,ResNet50V2,0
6,0.1,0,64,3,relu,0,0.15,1,3,relu,1,3,relu,1,3,relu,0,3,relu,0,3,relu,0,0,0,Adam,0.001,1,0,0,Standard,MSE,1,1.00E-07,MC24x,All,1000,InceptionV3,0
7,0.1,0,64,3,relu,0,0.15,1,3,relu,1,3,relu,1,3,relu,0,3,relu,0,3,relu,0,0,0,Adam,0.001,1,0,0,Standard,MSE,1,1.00E-07,MC24x,All,1000,InceptionResNetV2,0
8,0.1,0,64,3,relu,0,0.15,1,3,relu,1,3,relu,1,3,relu,0,3,relu,0,3,relu,0,0,0,Adam,0.001,1,0,0,Standard,MSE,1,1.00E-07,MC24x,All,1000,DenseNet121,0
9,0.1,0,64,3,relu,0,0.15,1,3,relu,1,3,relu,1,3,relu,0,3,relu,0,3,relu,0,0,0,Adam,0.001,1,0,0,Standard,MSE,1,1.00E-07,MC24x,All,1000,NASNetMobile,0
10,0.1,0,64,3,relu,0,0.15,1,3,relu,1,3,relu,1,3,relu,0,3,relu,0,3,relu,0,0,0,Adam,0.001,1,0,0,Standard,MSE,1,1.00E-07,MC24x,All,1000,EfficientNetV2S,0
11,0.1,0,64,3,relu,0,0.15,1,3,relu,1,3,relu,1,3,relu,0,3,relu,0,3,relu,0,0,0,Adam,0.001,1,0,0,Standard,MSE,1,1.00E-07,MC24x,All,1000,EfficientNetV2M,0
12,0.1,0,64,3,relu,0,0.15,1,3,relu,1,3,relu,1,3,relu,0,3,relu,0,3,relu,0,0,0,Adam,0.001,1,0,0,Standard,MSE,1,1.00E-07,MC24x,All,1000,EfficientNetV2L,0
13,0.1,0,64,3,relu,0,0.15,1,3,relu,1,3,relu,1,3,relu,0,3,relu,0,3,relu,0,0,0,Adam,0.001,1,0,0,Standard,MSE,1,1.00E-07,MC24x,All,1000,ConvNeXtTiny,0
14,0.1,0,64,3,relu,0,0.15,1,3,relu,1,3,relu,1,3,relu,0,3,relu,0,3,relu,0,0,0,Adam,0.001,1,0,0,Standard,MSE,1,1.00E-07,MC24x,All,1000,ConvNeXtSmall,0
15,0.1,0,64,3,relu,0,0.15,1,3,relu,1,3,relu,1,3,relu,0,3,relu,0,3,relu,0,0,0,Adam,0.001,1,0,0,Standard,MSE,1,1.00E-07,MC24x,All,1000,ConvNeXtLarge,0
16,0.1,0,64,3,relu,0,0.15,1,3,relu,1,3,relu,1,3,relu,0,3,relu,0,3,relu,0,0,0,Adam,0.001,1,0,0,Standard,MSE,1,1.00E-07,MC24x,All,1000,UNet,0
